股票代码,股票名称,行业,细分赛道,标签,月涨幅(%),年涨幅(%),港股代码,基本面打分,短线打分,长线打分,目标价,备注
688525,佰维存储,芯片智造,存储芯片,核心供应商、技术领先,18.95,342.49,无,74.0,61.5,81.6,532.51,基本面74.0 | 短线61.5 | 中期81.6 | 存储芯片、技术领先、核心供应商、核心；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率53.3%，盈利壁垒强；ROE 42.0%；营收同比341.5%；利润同比1567.9% | 月涨幅分位39%；换手率7.89%；成交额159.0亿；价在MA20上方
301308,江波龙,芯片智造,存储芯片,核心供应商、技术突破,47.8,196.53,无,74.0,66.3,86.4,779.48,基本面74.0 | 短线66.3 | 中期86.4 | 存储芯片、技术突破、核心供应商、核心；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率55.5%，盈利壁垒强；ROE 39.4%；营收同比132.8%；利润同比2644.0% | 月涨幅分位78%；换手率7.32%；成交额126.7亿；价在MA20上方
603986,兆易创新,芯片智造,存储芯片,行业龙头、产能领先、国产替代,72.97,293.44,03986,70.0,73.7,85.7,851.92,基本面70.0 | 短线73.7 | 中期85.7 | 存储芯片、行业龙头、龙头、产能领先、国产替代；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率57.1%，盈利壁垒强；ROE 6.1%；营收同比119.4%；利润同比522.8% | 月涨幅分位92%；换手率9.33%；成交额426.7亿；价在MA20上方
300604,长川科技,芯片智造,刻蚀设备,测试核心、国产替代,39.37,233.86,无,69.0,64.0,91.4,378.48,基本面69.0 | 短线64.0 | 中期91.4 | 刻蚀设备、国产替代、核心；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率56.8%，盈利壁垒强；ROE 7.2%；营收同比69.1%；利润同比217.6% | 月涨幅分位68%；换手率7.00%；成交额102.7亿；价在MA20上方
300042,朗科科技,芯片智造,存储芯片,核心供应商、国产替代,32.34,178.89,无,58.0,40.1,70.7,76.41,基本面58.0 | 短线40.1 | 中期70.7 | 存储芯片、国产替代、核心供应商、核心；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率25.2%，处于一般水平；ROE 7.5%；营收同比107.8%；利润同比744.4% | 月涨幅分位61%；换手率11.41%；成交额15.5亿；价在MA20下方
300054,鼎龙股份,芯片智造,CMP设备、韬定律,抛光垫龙头、产能领先,28.77,177.33,无,66.0,55.4,76.6,107.61,基本面66.0 | 短线55.4 | 中期76.6 | CMP设备、龙头、产能领先；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率54.9%，盈利壁垒强；ROE 4.7%偏低；营收同比23.8%；利润同比78.0% | 月涨幅分位55%；换手率6.34%；成交额42.7亿；价在MA20上方
603083,剑桥科技,光模块,高速光模块、LPO模块,弹性龙头、业绩高增、北美订单、资金关注,22.87,84.77,06166,58.0,37.6,64.4,234.12,基本面58.0 | 短线37.6 | 中期64.4 | 高速光模块、龙头；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率29.3%，处于一般水平；ROE 1.6%偏低；营收同比44.0%；利润同比276.4% | 月涨幅分位45%；换手率7.97%；成交额46.7亿；价在MA20下方
300308,中际旭创,光模块,高速光模块、硅光模块、LPO模块、CPO光引擎,全球龙头、英伟达核心、技术标杆、机构重仓,25.45,100.33,无,71.0,33.1,64.3,1290.93,基本面71.0 | 短线33.1 | 中期64.3 | CPO光引擎、高速光模块、硅光模块、全球龙头、龙头、技术标杆、机构重仓、核心；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率46.1%，盈利能力优秀；ROE 17.5%；营收同比192.1%；利润同比262.3% | 月涨幅分位48%；换手率2.96%；成交额377.0亿；价在MA20下方
688072,拓荆科技,芯片智造,薄膜沉积、韬定律、键合,PECVD龙头、产能领先,73.44,152.37,无,67.0,74.4,92.1,1048.57,基本面67.0 | 短线74.4 | 中期92.1 | 薄膜沉积、龙头、产能领先；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率41.7%，盈利能力优秀；ROE 8.2%；营收同比57.0%；利润同比488.3% | 月涨幅分位93%；换手率2.84%；成交额66.9亿；价在MA20上方
688498,源杰科技,光模块,高速光芯片,光芯片龙头、EML量产、技术壁垒、国产核心,16.77,289.62,无,70.0,41.0,89.8,2017.79,基本面70.0 | 短线41.0 | 中期89.8 | 高速光芯片、龙头、核心；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率77.8%，盈利壁垒强；ROE 7.4%；营收同比320.9%；利润同比1153.1% | 月涨幅分位34%；换手率3.12%；成交额64.4亿；价在MA20上方
688019,安集科技,芯片智造,CMP设备,抛光液龙头、产能领先,27.12,82.24,无,68.0,53.1,68.6,325.49,基本面68.0 | 短线53.1 | 中期68.6 | CMP设备、龙头、产能领先；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率55.5%，盈利壁垒强；ROE 5.7%；营收同比32.8%；利润同比23.0% | 月涨幅分位52%；换手率5.57%；成交额36.5亿；价在MA20上方
000988,华工科技,光模块,高速光模块,全能龙头、NPO落地、国资背景、协同布局,38.64,123.86,无,54.0,50.0,60.1,171.53,基本面54.0 | 短线50.0 | 中期60.1 | 高速光模块、龙头、国资背景；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率19.8%，利润垫偏薄；ROE 5.6%；营收同比27.1%；利润同比55.8% | 月涨幅分位67%；换手率5.75%；成交额89.7亿；价在MA20下方
002281,光迅科技,光模块,硅光模块、高速光芯片、光纤光缆,国家队龙头、全产业链、双轨覆盖、技术储备,57.5,237.3,无,56.0,47.8,73.3,248.69,基本面56.0 | 短线47.8 | 中期73.3 | 硅光模块、高速光芯片、光纤光缆、国家队龙头、龙头、全产业链；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率26.8%，处于一般水平；ROE 2.4%偏低；营收同比24.8%；利润同比59.8% | 月涨幅分位87%；换手率5.16%；成交额88.3亿；价在MA20下方
688313,仕佳光子,光模块,硅光模块,硅光黑马、无源龙头、自主可控、技术壁垒,8.01,98.12,无,62.0,22.3,61.5,168.63,基本面62.0 | 短线22.3 | 中期61.5 | 硅光模块、龙头、自主可控；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率34.1%，盈利能力良好；ROE 7.2%；营收同比32.2%；利润同比24.7% | 月涨幅分位19%；换手率3.65%；成交额26.8亿；价在MA20下方
000021,深科技,芯片智造,存储芯片,存储连接芯片、核心供应商、国产替代,52.44,134.88,无,46.0,79.6,86.2,63.89,基本面46.0 | 短线79.6 | 中期86.2 | 存储芯片、国产替代、核心供应商、核心；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率17.1%，利润垫偏薄；ROE 1.8%偏低；营收同比10.7%；利润同比35.3% | 月涨幅分位81%；换手率14.94%；成交额126.5亿；价在MA20上方
688008,澜起科技,芯片智造,存储芯片,内存接口龙头、技术标杆,62.39,151.32,06889,68.0,70.1,78.8,328.36,基本面68.0 | 短线70.1 | 中期78.8 | 存储芯片、龙头、技术标杆；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率69.8%，盈利壁垒强；ROE 5.4%；营收同比19.5%；利润同比61.3% | 月涨幅分位90%；换手率6.31%；成交额194.7亿；价在MA20上方
300666,江丰电子,芯片智造,靶材,高纯靶材龙头、产能领先,17.64,317.46,无,58.0,59.9,83.8,382.17,基本面58.0 | 短线59.9 | 中期83.8 | 龙头、产能领先；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率32.9%，盈利能力良好；ROE 4.1%偏低；营收同比30.5%；利润同比33.4% | 月涨幅分位37%；换手率9.34%；成交额69.5亿；价在MA20上方
300502,新易盛,光模块,高速光模块、LPO模块、硅光模块,全球第二、北美核心、LPO标杆、高毛利,29.36,81.38,无,69.0,37.9,66.9,611.29,基本面69.0 | 短线37.9 | 中期66.9 | 高速光模块、硅光模块、高毛利、核心；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率49.2%，盈利能力优秀；ROE 14.5%；营收同比105.8%；利润同比76.8% | 月涨幅分位56%；换手率4.26%；成交额284.3亿；价在MA20下方
300346,南大光电,芯片智造,光刻胶,ArF龙头、产能领先,5.48,111.17,无,59.0,59.3,79.0,91.68,基本面59.0 | 短线59.3 | 中期79.0 | 光刻胶、龙头、产能领先；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率41.9%，盈利能力优秀；ROE 3.5%偏低；营收同比5.5%；利润同比30.0% | 月涨幅分位15%；换手率16.91%；成交额91.8亿；价在MA20上方
688012,中微公司,芯片智造,刻蚀设备、韬定律,行业龙头、技术标杆、产能领先,40.72,149.83,无,62.0,61.1,84.8,499.84,基本面62.0 | 短线61.1 | 中期84.8 | 刻蚀设备、行业龙头、龙头、技术标杆、产能领先；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率39.9%，盈利能力良好；ROE 4.0%偏低；营收同比34.1%；利润同比197.2% | 月涨幅分位69%；换手率3.59%；成交额138.1亿；价在MA20上方
688120,华海清科,芯片智造,CMP设备、韬定律,行业龙头、产能领先,53.73,195.63,无,61.0,63.7,80.7,299.72,基本面61.0 | 短线63.7 | 中期80.7 | CMP设备、行业龙头、龙头、产能领先；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率42.3%，盈利能力优秀；ROE 3.3%偏低；营收同比31.7%；利润同比5.9% | 月涨幅分位83%；换手率4.56%；成交额60.6亿；价在MA20上方
300236,上海新阳,芯片智造,光刻胶,g线核心、国产替代,13.81,103.49,无,61.0,42.8,70.1,126.03,基本面61.0 | 短线42.8 | 中期70.1 | 光刻胶、国产替代、核心；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率42.2%，盈利能力优秀；ROE 1.9%偏低；营收同比33.0%；利润同比102.6% | 月涨幅分位31%；换手率5.81%；成交额18.1亿；价在MA20上方
002384,东山精密,光模块,高速光模块、CPO光引擎、PCB,体量最大、光芯片布局、CPO配套、产能领先,18.88,194.85,无,56.0,44.6,70.7,263.99,基本面56.0 | 短线44.6 | 中期70.7 | CPO光引擎、高速光模块、PCB、产能领先；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率19.3%，利润垫偏薄；ROE 5.0%；营收同比52.7%；利润同比143.5% | 月涨幅分位38%；换手率8.96%；成交额278.2亿；价在MA20下方
002916,深南电路,芯片智造,PCB、ABF载板,封装基板龙头、国内PCB龙头、产能领先,31.42,88.86,无,58.0,69.4,89.1,552.33,基本面58.0 | 短线69.4 | 中期89.1 | ABF载板、PCB、龙头、产能领先；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率29.2%，处于一般水平；ROE 4.8%偏低；营收同比37.9%；利润同比73.0% | 月涨幅分位59%；换手率2.65%；成交额79.5亿；价在MA20上方
002409,雅克科技,芯片智造,湿电子化学品,行业龙头、产能领先,32.9,181.15,无,52.0,78.4,84.7,223.24,基本面52.0 | 短线78.4 | 中期84.7 | 行业龙头、龙头、产能领先；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率31.2%，盈利能力良好；ROE 3.3%偏低；营收同比-6.9%；利润同比2.5% | 月涨幅分位62%；换手率14.54%；成交额93.7亿；价在MA20上方
688372,伟测科技,芯片智造,传统封测,测试服务核心、技术领先,16.15,56.03,无,55.0,43.5,69.7,182.94,基本面55.0 | 短线43.5 | 中期69.7 | 技术领先、核心；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率35.0%，盈利能力良好；ROE 2.4%偏低；营收同比71.8%；利润同比173.4% | 月涨幅分位33%；换手率6.96%；成交额19.4亿；价在MA20上方
