股票代码,股票名称,行业,细分赛道,标签,月涨幅(%),年涨幅(%),港股代码,基本面打分,短线打分,长线打分,目标价,备注
688525,佰维存储,芯片智造,存储芯片,核心供应商、技术领先,18.95,342.49,无,74.0,56.3,78.9,515.75,基本面74.0 | 短线56.3 | 中期78.9 | 存储芯片、技术领先、核心供应商、核心；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率53.3%，盈利壁垒强；ROE 42.0%；营收同比341.5%；利润同比1567.9% | 月涨幅分位39%；换手率8.19%；成交额156.1亿；价在MA20上方
301308,江波龙,芯片智造,存储芯片,核心供应商、技术突破,47.8,196.53,无,74.0,59.9,83.1,771.93,基本面74.0 | 短线59.9 | 中期83.1 | 存储芯片、技术突破、核心供应商、核心；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率55.5%，盈利壁垒强；ROE 39.4%；营收同比132.8%；利润同比2644.0% | 月涨幅分位78%；换手率7.16%；成交额123.5亿；价在MA20上方
603986,兆易创新,芯片智造,存储芯片,行业龙头、产能领先、国产替代,72.97,293.44,03986,70.0,72.5,83.9,830.39,基本面70.0 | 短线72.5 | 中期83.9 | 存储芯片、行业龙头、龙头、产能领先、国产替代；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率57.1%，盈利壁垒强；ROE 6.1%；营收同比119.4%；利润同比522.8% | 月涨幅分位92%；换手率8.84%；成交额381.9亿；价在MA20上方
300604,长川科技,芯片智造,刻蚀设备,测试核心、国产替代,39.37,233.86,无,69.0,74.4,97.2,477.79,基本面69.0 | 短线74.4 | 中期97.2 | 刻蚀设备、国产替代、核心；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率56.8%，盈利壁垒强；ROE 7.2%；营收同比69.1%；利润同比217.6% | 月涨幅分位68%；换手率8.13%；成交额134.6亿；价在MA20上方
300042,朗科科技,芯片智造,存储芯片,核心供应商、国产替代,32.34,178.89,无,58.0,31.9,50.0,67.59,基本面58.0 | 短线31.9 | 中期50.0 | 存储芯片、国产替代、核心供应商、核心；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率25.2%，处于一般水平；ROE 7.5%；营收同比107.8%；利润同比744.4% | 月涨幅分位61%；换手率8.75%；成交额10.7亿；价在MA20下方
300054,鼎龙股份,芯片智造,CMP设备、韬定律,抛光垫龙头、产能领先,28.77,177.33,无,66.0,68.2,84.1,118.21,基本面66.0 | 短线68.2 | 中期84.1 | CMP设备、龙头、产能领先；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率54.9%，盈利壁垒强；ROE 4.7%偏低；营收同比23.8%；利润同比78.0% | 月涨幅分位55%；换手率7.62%；成交额52.9亿；价在MA20上方
603083,剑桥科技,光模块,高速光模块、LPO模块,弹性龙头、业绩高增、北美订单、资金关注,22.87,84.77,06166,58.0,47.7,62.6,228.21,基本面58.0 | 短线47.7 | 中期62.6 | 高速光模块、龙头；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率29.3%，处于一般水平；ROE 1.6%偏低；营收同比44.0%；利润同比276.4% | 月涨幅分位45%；换手率11.78%；成交额62.1亿；价在MA20下方
300308,中际旭创,光模块,高速光模块、硅光模块、LPO模块、CPO光引擎,全球龙头、英伟达核心、技术标杆、机构重仓,25.45,100.33,无,71.0,51.2,69.9,1428.02,基本面71.0 | 短线51.2 | 中期69.9 | CPO光引擎、高速光模块、硅光模块、全球龙头、龙头、技术标杆、机构重仓、核心；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率46.1%，盈利能力优秀；ROE 17.5%；营收同比192.1%；利润同比262.3% | 月涨幅分位48%；换手率3.23%；成交额416.1亿；价在MA20下方
688072,拓荆科技,芯片智造,薄膜沉积、韬定律、键合,PECVD龙头、产能领先,73.44,152.37,无,67.0,73.8,92.8,1048.99,基本面67.0 | 短线73.8 | 中期92.8 | 薄膜沉积、龙头、产能领先；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率41.7%，盈利能力优秀；ROE 8.2%；营收同比57.0%；利润同比488.3% | 月涨幅分位93%；换手率2.84%；成交额66.9亿；价在MA20上方
688498,源杰科技,光模块,高速光芯片,光芯片龙头、EML量产、技术壁垒、国产核心,16.77,289.62,无,70.0,63.1,92.8,2191.68,基本面70.0 | 短线63.1 | 中期92.8 | 高速光芯片、龙头、核心；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率77.8%，盈利壁垒强；ROE 7.4%；营收同比320.9%；利润同比1153.1% | 月涨幅分位34%；换手率4.09%；成交额84.6亿；价在MA20上方
688019,安集科技,芯片智造,CMP设备,抛光液龙头、产能领先,27.12,82.24,无,68.0,61.0,83.3,407.9,基本面68.0 | 短线61.0 | 中期83.3 | CMP设备、龙头、产能领先；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率55.5%，盈利壁垒强；ROE 5.7%；营收同比32.8%；利润同比23.0% | 月涨幅分位52%；换手率5.94%；成交额43.9亿；价在MA20上方
988,华工科技,光模块,高速光模块,全能龙头、NPO落地、国资背景、协同布局,38.64,123.86,无,54.0,49.1,66.1,178.85,基本面54.0 | 短线49.1 | 中期66.1 | 高速光模块、龙头、国资背景；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率19.8%，利润垫偏薄；ROE 5.6%；营收同比27.1%；利润同比55.8% | 月涨幅分位67%；换手率5.99%；成交额92.2亿；价在MA20下方
2281,光迅科技,光模块,硅光模块、高速光芯片、光纤光缆,国家队龙头、全产业链、双轨覆盖、技术储备,57.5,237.3,无,56.0,72.8,89.5,289.57,基本面56.0 | 短线72.8 | 中期89.5 | 硅光模块、高速光芯片、光纤光缆、国家队龙头、龙头、全产业链；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率26.8%，处于一般水平；ROE 2.4%偏低；营收同比24.8%；利润同比59.8% | 月涨幅分位87%；换手率6.11%；成交额108.7亿；价在MA20上方
688313,仕佳光子,光模块,硅光模块,硅光黑马、无源龙头、自主可控、技术壁垒,8.01,98.12,无,62.0,31.1,49.3,162.64,基本面62.0 | 短线31.1 | 中期49.3 | 硅光模块、龙头、自主可控；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率34.1%，盈利能力良好；ROE 7.2%；营收同比32.2%；利润同比24.7% | 月涨幅分位19%；换手率5.95%；成交额39.3亿；价在MA20下方
21,深科技,芯片智造,存储芯片,存储连接芯片、核心供应商、国产替代,52.44,134.88,无,46.0,72.0,85.0,63.49,基本面46.0 | 短线72.0 | 中期85.0 | 存储芯片、国产替代、核心供应商、核心；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率17.1%，利润垫偏薄；ROE 1.8%偏低；营收同比10.7%；利润同比35.3% | 月涨幅分位81%；换手率11.72%；成交额101.1亿；价在MA20上方
688008,澜起科技,芯片智造,存储芯片,内存接口龙头、技术标杆,62.39,151.32,06889,68.0,77.9,85.5,358.92,基本面68.0 | 短线77.9 | 中期85.5 | 存储芯片、龙头、技术标杆；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率69.8%，盈利壁垒强；ROE 5.4%；营收同比19.5%；利润同比61.3% | 月涨幅分位90%；换手率7.18%；成交额219.6亿；价在MA20上方
300666,江丰电子,芯片智造,靶材,高纯靶材龙头、产能领先,17.64,317.46,无,58.0,73.0,95.0,434.64,基本面58.0 | 短线73.0 | 中期95.0 | 龙头、产能领先；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率32.9%，盈利能力良好；ROE 4.1%偏低；营收同比30.5%；利润同比33.4% | 月涨幅分位37%；换手率10.75%；成交额82.9亿；价在MA20上方
300502,新易盛,光模块,高速光模块、LPO模块、硅光模块,全球第二、北美核心、LPO标杆、高毛利,29.36,81.38,无,69.0,54.3,67.6,648.14,基本面69.0 | 短线54.3 | 中期67.6 | 高速光模块、硅光模块、高毛利、核心；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率49.2%，盈利能力优秀；ROE 14.5%；营收同比105.8%；利润同比76.8% | 月涨幅分位56%；换手率3.92%；成交额261.0亿；价在MA20下方
300346,南大光电,芯片智造,光刻胶,ArF龙头、产能领先,5.48,111.17,无,59.0,51.7,76.6,90.38,基本面59.0 | 短线51.7 | 中期76.6 | 光刻胶、龙头、产能领先；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率41.9%，盈利能力优秀；ROE 3.5%偏低；营收同比5.5%；利润同比30.0% | 月涨幅分位15%；换手率11.35%；成交额58.2亿；价在MA20上方
688012,中微公司,芯片智造,刻蚀设备、韬定律,行业龙头、技术标杆、产能领先,40.72,149.83,无,62.0,68.3,91.4,581.12,基本面62.0 | 短线68.3 | 中期91.4 | 刻蚀设备、行业龙头、龙头、技术标杆、产能领先；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率39.9%，盈利能力良好；ROE 4.0%偏低；营收同比34.1%；利润同比197.2% | 月涨幅分位69%；换手率3.60%；成交额151.8亿；价在MA20上方
688120,华海清科,芯片智造,CMP设备、韬定律,行业龙头、产能领先,53.73,195.63,无,61.0,69.5,96.6,399.37,基本面61.0 | 短线69.5 | 中期96.6 | CMP设备、行业龙头、龙头、产能领先；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率42.3%，盈利能力优秀；ROE 3.3%偏低；营收同比31.7%；利润同比5.9% | 月涨幅分位83%；换手率3.87%；成交额59.6亿；价在MA20上方
300236,上海新阳,芯片智造,光刻胶,g线核心、国产替代,13.81,103.49,无,61.0,60.5,82.8,157.56,基本面61.0 | 短线60.5 | 中期82.8 | 光刻胶、国产替代、核心；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率42.2%，盈利能力优秀；ROE 1.9%偏低；营收同比33.0%；利润同比102.6% | 月涨幅分位31%；换手率8.87%；成交额30.5亿；价在MA20上方
2384,东山精密,光模块,高速光模块、CPO光引擎、PCB,体量最大、光芯片布局、CPO配套、产能领先,18.88,194.85,无,56.0,68.6,90.1,315.96,基本面56.0 | 短线68.6 | 中期90.1 | CPO光引擎、高速光模块、PCB、产能领先；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率19.3%，利润垫偏薄；ROE 5.0%；营收同比52.7%；利润同比143.5% | 月涨幅分位38%；换手率8.10%；成交额277.9亿；价在MA20上方
2916,深南电路,芯片智造,PCB、ABF载板,封装基板龙头、国内PCB龙头、产能领先,31.42,88.86,无,58.0,58.0,84.5,526.2,基本面58.0 | 短线58.0 | 中期84.5 | ABF载板、PCB、龙头、产能领先；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率29.2%，处于一般水平；ROE 4.8%偏低；营收同比37.9%；利润同比73.0% | 月涨幅分位59%；换手率2.33%；成交额66.5亿；价在MA20上方
2409,雅克科技,芯片智造,湿电子化学品,行业龙头、产能领先,32.9,181.15,无,52.0,71.0,89.8,233.68,基本面52.0 | 短线71.0 | 中期89.8 | 行业龙头、龙头、产能领先；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率31.2%，盈利能力良好；ROE 3.3%偏低；营收同比-6.9%；利润同比2.5% | 月涨幅分位62%；换手率10.53%；成交额67.4亿；价在MA20上方
688372,伟测科技,芯片智造,传统封测,测试服务核心、技术领先,16.15,56.03,无,55.0,65.5,78.2,222.34,基本面55.0 | 短线65.5 | 中期78.2 | 技术领先、核心；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率35.0%，盈利能力良好；ROE 2.4%偏低；营收同比71.8%；利润同比173.4% | 月涨幅分位33%；换手率8.51%；成交额26.6亿；价在MA20上方
688146,中船特气,芯片智造,电子特气,行业核心、国产替代,112.1,820.4,无,53.0,77.6,98.9,418.03,基本面53.0 | 短线77.6 | 中期98.9 | 电子特气、国产替代、核心；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率30.2%，盈利能力良好；ROE 1.7%偏低；营收同比36.0%；利润同比16.9% | 月涨幅分位97%；换手率9.67%；成交额48.5亿；价在MA20上方
600584,长电科技,芯片智造,传统封测、韬定律、先进封装,封测龙头、产能领先、技术标杆,91.94,181.49,无,46.0,86.1,94.5,121.03,基本面46.0 | 短线86.1 | 中期94.5 | 先进封装、龙头、技术标杆、产能领先；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率14.5%，利润垫偏薄；ROE 1.0%偏低；营收同比-1.8%；利润同比42.7% | 月涨幅分位96%；换手率11.53%；成交额205.0亿；价在MA20上方
600487,亨通光电,光模块,光纤光缆,光纤龙头、光棒自主、全产业链、产能领先,-1.22,341.7,无,54.0,36.0,46.4,85.33,基本面54.0 | 短线36.0 | 中期46.4 | 光纤光缆、龙头、产能领先、全产业链；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率16.0%，利润垫偏薄；ROE 3.4%偏低；营收同比34.1%；利润同比98.5% | 月涨幅分位7%；换手率9.71%；成交额185.9亿；价在MA20下方
300373,扬杰科技,芯片智造,功率半导体,行业核心、国产替代、技术领先,33.63,122.15,无,56.0,54.1,81.3,154.35,基本面56.0 | 短线54.1 | 中期81.3 | 技术领先、国产替代、核心；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率36.8%，盈利能力良好；ROE 4.0%偏低；营收同比34.9%；利润同比41.0% | 月涨幅分位63%；换手率4.90%；成交额34.8亿；价在MA20上方
688268,华特气体,芯片智造,电子特气,行业龙头、产能领先,-9.89,339.1,无,51.0,39.5,84.4,223.84,基本面51.0 | 短线39.5 | 中期84.4 | 电子特气、行业龙头、龙头、产能领先；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率30.2%，盈利能力良好；ROE 1.7%偏低；营收同比13.7%；利润同比-23.7% | 月涨幅分位3%；换手率5.78%；成交额16.2亿；价在MA20上方
