股票代码,股票名称,行业,细分赛道,标签,月涨幅(%),年涨幅(%),基本面打分,短线打分,长线打分,目标价,备注,是否持仓股
688256,寒武纪,芯片智造,AI算力芯片,训练芯片核心、技术标杆,12.096774193548375,254.01385493072536,70.0,44.0,70.7,1596.26,基本面70.0 | 短线44.0 | 中期70.7 | AI算力芯片、技术标杆、核心；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率54.3%，盈利壁垒强；ROE 8.2%；营收同比159.6%；利润同比185.0% | 月涨幅分位65%；换手率2.74%；成交额220.9亿；价在MA20下方,缺失
688521,芯原股份,芯片智造,AI算力芯片,AI芯片IP核心、国产替代,21.695872361403666,216.4801864801865,54.0,48.0,39.2,222.53,基本面54.0 | 短线48.0 | 中期39.2 | AI算力芯片、国产替代、核心；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率32.3%，盈利能力良好；ROE -10.4%偏低；营收同比114.5%；利润同比-54.7% | 月涨幅分位79%；换手率5.89%；成交额70.9亿；价在MA20下方,缺失
688802,沐曦股份,芯片智造,AI算力芯片,算力芯片核心、技术突破,40.00201470736376,缺失,67.0,74.0,83.6,1113.46,基本面67.0 | 短线74.0 | 中期83.6 | AI算力芯片、技术突破、核心；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率60.1%，盈利壁垒强；ROE -0.8%偏低；营收同比75.4%；利润同比57.5% | 月涨幅分位92%；换手率15.64%；成交额24.8亿；价在MA20上方,缺失
688041,海光信息,芯片智造,AI算力芯片,行业龙头、产能领先、国产替代,23.271518919498348,148.3980128158975,66.0,65.1,87.3,411.11,基本面66.0 | 短线65.1 | 中期87.3 | AI算力芯片、行业龙头、龙头、产能领先、国产替代；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率55.6%，盈利壁垒强；ROE 3.0%偏低；营收同比68.1%；利润同比35.8% | 月涨幅分位80%；换手率1.79%；成交额136.2亿；价在MA20上方,缺失
688795,摩尔线程,芯片智造,AI算力芯片,算力芯片核心、国产GPU龙头,17.254934075833273,缺失,68.0,46.6,40.3,720.65,基本面68.0 | 短线46.6 | 中期40.3 | AI算力芯片、龙头、核心；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率67.4%，盈利壁垒强；ROE 0.3%偏低；营收同比155.3%；利润同比126.1% | 月涨幅分位74%；换手率9.61%；成交额18.1亿；价在MA20下方,缺失
688047,龙芯中科,芯片智造,AI算力芯片,国产CPU龙头、技术自主,-1.4655663062037585,-0.3668800805697314,56.0,14.8,13.5,109.86,基本面56.0 | 短线14.8 | 中期13.5 | AI算力芯片、龙头；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率34.9%，盈利能力良好；ROE -4.7%偏低；营收同比8.0%；利润同比24.7% | 月涨幅分位47%；换手率2.19%；成交额10.0亿；价在MA20下方,缺失
300474,景嘉微,芯片智造,AI算力芯片、DSP芯片,推理芯片核心、国产DSP龙头、机构重仓,15.84527783231886,-18.39557399723375,55.0,27.7,14.8,44.68,基本面55.0 | 短线27.7 | 中期14.8 | AI算力芯片、龙头、机构重仓、核心；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率61.7%，盈利壁垒强；ROE -0.8%偏低；营收同比-17.9%；利润同比-2.3% | 月涨幅分位72%；换手率3.47%；成交额7.4亿；价在MA20下方,缺失
688019,安集科技,芯片智造,CMP设备,抛光液龙头、产能领先,32.25777777777776,168.42864874616632,68.0,44.4,65.2,294.75,基本面68.0 | 短线44.4 | 中期65.2 | CMP设备、龙头、产能领先；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率55.5%，盈利壁垒强；ROE 5.7%；营收同比32.8%；利润同比23.0% | 月涨幅分位87%；换手率5.53%；成交额30.0亿；价在MA20下方,缺失
300260,新莱应材,芯片智造,CMP设备,零部件核心、国产替代,8.722996992069998,152.92620865139946,48.0,33.7,38.5,57.32,基本面48.0 | 短线33.7 | 中期38.5 | CMP设备、国产替代、核心；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率22.2%，处于一般水平；ROE 2.4%偏低；营收同比14.1%；利润同比3.6% | 月涨幅分位60%；换手率9.99%；成交额16.0亿；价在MA20下方,缺失
300054,鼎龙股份,芯片智造,CMP设备、韬定律,抛光垫龙头、产能领先、钨/氧抛光液,1.2927756653992262,187.17211642112832,66.0,43.9,66.4,89.66,基本面66.0 | 短线43.9 | 中期66.4 | CMP设备、龙头、产能领先；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率54.9%，盈利壁垒强；ROE 4.7%偏低；营收同比23.8%；利润同比78.0% | 月涨幅分位50%；换手率9.08%；成交额48.2亿；价在MA20下方,缺失
688120,华海清科,芯片智造,CMP设备、韬定律,行业龙头、产能领先,76.90760869565216,311.0493749210759,61.0,50.4,75.1,297.99,基本面61.0 | 短线50.4 | 中期75.1 | CMP设备、行业龙头、龙头、产能领先；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率42.3%，盈利能力优秀；ROE 3.3%偏低；营收同比31.7%；利润同比5.9% | 月涨幅分位100%；换手率4.52%；成交额54.2亿；价在MA20下方,缺失
300394,天孚通信,光模块,CPO光引擎,CPO龙头、封装核心、绑定头部、高毛利,-7.702438156255553,385.5992509363296,68.0,34.5,33.1,241.61,基本面68.0 | 短线34.5 | 中期33.1 | CPO光引擎、龙头、高毛利、核心；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率56.6%，盈利壁垒强；ROE 8.6%；营收同比40.8%；利润同比45.8% | 月涨幅分位33%；换手率5.96%；成交额138.6亿；价在MA20下方,缺失
688296,和林微纳,光模块,DSP芯片、韬定律,高速DSP核心、技术研发、高壁垒、高毛利、芯片探针,-5.97127739984884,-2.8125000000000067,51.0,40.4,38.5,12.32,基本面51.0 | 短线40.4 | 中期38.5 | 高毛利、核心；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率35.2%，盈利能力良好；ROE -2.2%偏低；营收同比17.1%；利润同比11.4% | 月涨幅分位36%；换手率5.39%；成交额0.7亿；价在MA20上方,缺失
301269,华大九天,芯片智造,EDA软件,缺失,26.71037326847838,-0.6137513477647794,45.0,24.1,44.6,85.19,基本面45.0 | 短线24.1 | 中期44.6 | 赛道与标签信息一般；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率78.8%，盈利壁垒强；ROE -1.4%偏低；营收同比9.6%；利润同比-851.5% | 月涨幅分位83%；换手率2.55%；成交额13.5亿；价在MA20下方,缺失
688206,概伦电子,芯片智造,EDA软件,缺失,35.35853976531942,92.18807848944832,45.0,24.7,38.2,31.2,基本面45.0 | 短线24.7 | 中期38.2 | 赛道与标签信息一般；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率86.2%，盈利壁垒强；ROE -0.6%偏低；营收同比10.1%；利润同比-917.2% | 月涨幅分位89%；换手率3.27%；成交额5.1亿；价在MA20下方,缺失
301095,广立微,芯片智造,EDA软件,缺失,6.602768903088374,89.76303317535543,54.0,25.5,29.8,73.85,基本面54.0 | 短线25.5 | 中期29.8 | 赛道与标签信息一般；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率56.1%，盈利壁垒强；ROE -0.3%偏低；营收同比58.5%；利润同比21.9% | 月涨幅分位57%；换手率7.65%；成交额9.3亿；价在MA20下方,缺失
000636,风华高科,芯片智造,MLCC,缺失,-8.504150431983737,301.8601190476191,38.0,40.8,56.3,44.18,基本面38.0 | 短线40.8 | 中期56.3 | 赛道与标签信息一般；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率16.8%，利润垫偏薄；ROE 0.7%偏低；营收同比18.9%；利润同比37.1% | 月涨幅分位32%；换手率15.15%；成交额72.2亿；价在MA20下方,是
300408,三环集团,芯片智造,MLCC,缺失,-11.620553359683791,249.04776771776457,51.0,37.2,56.0,111.44,基本面51.0 | 短线37.2 | 中期56.0 | 赛道与标签信息一般；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率43.5%，盈利能力优秀；ROE 3.6%偏低；营收同比46.3%；利润同比48.5% | 月涨幅分位24%；换手率5.45%；成交额100.5亿；价在MA20下方,缺失
002484,江海科技,芯片智造,MLCC,缺失,-3.56923076923078,280.709426627794,40.0,33.0,58.6,69.41,基本面40.0 | 短线33.0 | 中期58.6 | 赛道与标签信息一般；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率25.9%，处于一般水平；ROE 2.5%偏低；营收同比19.5%；利润同比6.6% | 月涨幅分位41%；换手率6.98%；成交额38.2亿；价在MA20下方,缺失
301013,利和兴,PCB,MLCC,缺失,1.4743463731079265,211.52685576342787,42.0,35.8,47.5,40.74,基本面42.0 | 短线35.8 | 中期47.5 | 赛道与标签信息一般；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率19.6%，利润垫偏薄；ROE 0.5%偏低；营收同比117.0%；利润同比166.1% | 月涨幅分位51%；换手率17.42%；成交额11.8亿；价在MA20下方,缺失
600367,红星发展,PCB,MLCC,缺失,-28.90816518951537,147.0511140235911,33.0,23.0,46.4,25.42,基本面33.0 | 短线23.0 | 中期46.4 | 赛道与标签信息一般；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率23.7%，处于一般水平；ROE 1.2%偏低；营收同比-11.2%；利润同比-2.3% | 月涨幅分位3%；换手率13.16%；成交额12.2亿；价在MA20下方,缺失
000117,天利控股集团,PCB,MLCC,缺失,-49.840764331210195,1269.5652173913045,52.0,17.8,55.1,2.75,基本面52.0 | 短线17.8 | 中期55.1 | 赛道与标签信息一般；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率25.9%，处于一般水平；ROE 23.0%；营收同比23.9%；利润同比187.0% | 月涨幅分位1%；换手率缺失；成交额0.2亿；价在MA20下方,缺失
000894,万裕科技,PCB,MLCC,缺失,-53.7984496124031,654.0485829959514,31.0,25.2,52.9,1.92,基本面31.0 | 短线25.2 | 中期52.9 | 赛道与标签信息一般；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率16.6%，利润垫偏薄；ROE 0.4%偏低；营收同比2.3%；利润同比-20.1% | 月涨幅分位0%；换手率缺失；成交额0.1亿；价在MA20下方,缺失
002859,洁美科技,PCB,MLCC,材料,-3.586609989373013,299.0104452996151,46.0,27.1,50.7,61.58,基本面46.0 | 短线27.1 | 中期50.7 | 赛道与标签信息一般；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率32.6%，盈利能力良好；ROE 1.5%偏低；营收同比22.5%；利润同比41.6% | 月涨幅分位41%；换手率5.90%；成交额14.4亿；价在MA20下方,缺失
300285,国瓷材料,PCB,MLCC,材料,13.633942836854263,271.7189314750291,42.0,54.5,54.6,59.18,基本面42.0 | 短线54.5 | 中期54.6 | 赛道与标签信息一般；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率36.7%，盈利能力良好；ROE 2.0%偏低；营收同比9.1%；利润同比4.8% | 月涨幅分位69%；换手率13.41%；成交额61.0亿；价在MA20下方,是
600392,盛合资源,PCB,MLCC,氧化镝,-9.84496124031008,81.86082877247853,38.0,22.9,23.6,20.24,基本面38.0 | 短线22.9 | 中期23.6 | 赛道与标签信息一般；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率12.8%，利润垫偏薄；ROE 2.6%偏低；营收同比13.1%；利润同比94.5% | 月涨幅分位29%；换手率6.37%；成交额23.0亿；价在MA20下方,缺失
002885,京泉华,芯片智造,SST固态变压器,高频变压器,-18.043710021321967,122.0216606498195,38.0,18.7,19.9,23.52,基本面38.0 | 短线18.7 | 中期19.9 | 赛道与标签信息一般；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率14.6%，利润垫偏薄；ROE 2.0%偏低；营收同比6.1%；利润同比69.2% | 月涨幅分位16%；换手率9.65%；成交额5.4亿；价在MA20下方,缺失
002782,可立克,芯片智造,SST固态变压器,高频变压器,-27.755102040816325,25.13747054202671,31.0,5.1,6.4,10.6,基本面31.0 | 短线5.1 | 中期6.4 | 赛道与标签信息一般；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率12.0%，利润垫偏薄；ROE 1.1%偏低；营收同比8.9%；利润同比-63.6% | 月涨幅分位4%；换手率3.50%；成交额2.3亿；价在MA20下方,缺失
002922,伊戈尔,芯片智造,SST固态变压器,高频变压器,-22.538100820633055,71.28969539857421,40.0,14.0,8.2,21.69,基本面40.0 | 短线14.0 | 中期8.2 | 赛道与标签信息一般；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率19.8%，利润垫偏薄；ROE 1.8%偏低；营收同比17.7%；利润同比63.5% | 月涨幅分位12%；换手率7.09%；成交额6.1亿；价在MA20下方,缺失
601126,四方股份,芯片智造,SST固态变压器,SST整机,-23.78684132182197,220.8020050125313,46.0,18.3,26.7,39.99,基本面46.0 | 短线18.3 | 中期26.7 | 赛道与标签信息一般；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率31.5%，盈利能力良好；ROE 5.4%；营收同比18.1%；利润同比12.1% | 月涨幅分位8%；换手率4.58%；成交额15.8亿；价在MA20下方,缺失
601179,中国西电,芯片智造,SST固态变压器,SST整机,-7.743857036485469,105.4726368159204,38.0,28.5,17.8,10.64,基本面38.0 | 短线28.5 | 中期17.8 | 赛道与标签信息一般；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率23.4%，处于一般水平；ROE 1.5%偏低；营收同比5.0%；利润同比17.5% | 月涨幅分位32%；换手率3.69%；成交额22.8亿；价在MA20下方,缺失
688676,金盘科技,芯片智造,SST固态变压器,SST整机,-10.422360248447204,120.18320610687022,38.0,22.4,14.1,54.55,基本面38.0 | 短线22.4 | 中期14.1 | 赛道与标签信息一般；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率25.7%，处于一般水平；ROE 2.1%偏低；营收同比13.4%；利润同比4.8% | 月涨幅分位28%；换手率3.08%；成交额8.8亿；价在MA20下方,缺失
